site,b_r,bag,number,outplant_time,empty_dish,whole_oyster,length,dry_whole,dry_tissue,
C,r,2,13,51.28571429,2.4311,56.6524,91.96,29.1845,4.8358,
C,r,2,14,51.28571429,2.4294,28.092,52.62,17.6959,3.7156,
C,r,2,15,51.28571429,2.4777,52.3826,89.76,35.2029,5.6954,
C,r,4,1,51.28571429,2.5248,60.4919,76.87,34.5758,5.3767,
C,r,4,2,51.28571429,2.549,37.6332,66.87,24.4014,4.7555,
C,r,4,3,51.28571429,2.5328,45.3378,60.1,28.9032,5.3252,
C,r,4,4,51.28571429,2.5715,37.6542,53.43,21.5994,4.6522,
C,r,4,5,51.28571429,2.6218,42.3352,68.69,24.9695,4.695,
C,r,4,6,51.28571429,2.6355,48.6812,71.74,31.3077,6.0605,
C,r,4,7,51.28571429,2.5844,53.8489,64.36,32.9192,5.0962,
C,r,4,8,51.28571429,2.5292,49.2042,82.91,29.5887,5.0193,
C,r,4,9,51.28571429,2.6904,53.1118,85.58,31.8611,5.7578,
C,r,4,10,51.28571429,2.5341,62.5335,84.94,30.5713,5.7481,
C,r,4,11,51.28571429,2.4963,49.1961,79.58,31.8672,5.3612,
C,r,4,12,51.28571429,2.4574,49.6377,112.21,47.6933,6.5067,
C,r,4,13,51.28571429,2.4472,81.4958,75.67,27.4329,5.0148,
C,r,4,14,51.28571429,2.3822,42.8246,66.75,23.489,3.9261,
C,r,4,15,51.28571429,2.435,37.2769,88.36,37.4595,5.6928,
B,r,2,1,51.42857143,2.6168,82.355,86.23,52.4103,7.4867,
B,r,2,2,51.42857143,2.6611,56.2087,105.43,33.971,5.7993,
B,r,2,3,51.42857143,2.6525,19.7357,52.13,13.6821,4.0021,
B,r,2,4,51.42857143,2.5632,88.4385,105.73,51.7157,7.2283,
B,r,2,5,51.42857143,2.6785,47.0578,86.61,25.3905,4.6675,
B,r,2,6,51.42857143,2.5908,108.5556,119.98,62.3257,8.9473,
B,r,2,7,51.42857143,2.5259,54.2225,81.57,36.9213,5.0898,
B,r,2,8,51.42857143,2.6005,60.4877,110.62,35.8542,6.1254,
B,r,2,9,51.42857143,2.9653,41.1382,81.18,25.8256,43836,
B,r,2,10,51.42857143,2.5561,24.368,53.23,16.0232,3.6153,
B,r,3,1,51.42857143,2.6272,72.6602,94.6,44.1942,7.3003,
B,r,3,2,51.42857143,2.527,54.6157,100.83,29.1257,5.3185,
B,r,3,3,51.42857143,2.4976,41.5082,85.9,26.8019,4.407,
B,r,3,4,51.42857143,2.645,56.8531,87.83,33.2281,6.0205,
B,r,3,5,51.42857143,2.515,54.8451,79.66,32.2758,5.0353,
B,r,3,6,51.42857143,2.5081,35.5288,80.73,24.0303,4.1788,
B,r,3,7,51.42857143,2.6158,55.0541,82.58,32.8799,5.1887,
B,r,3,8,51.42857143,2.6289,72.8757,105.77,46.2993,7.0923,
B,r,3,9,51.42857143,2.4379,35.5195,93.7,23.7037,4.2182,
B,r,3,10,51.42857143,2.4349,38.9284,74.66,27.2491,4.3003,
C,b,1,1,51.28571429,2.4764,15.3114,64.32,9.9826,2.6879,
