site,b_r,bag,outplant_time,shell_length,month,growth_rate
A,b,2,51.57142857,62.23,12,0.17418559557269206
A,b,2,51.57142857,77.61,12,0.4724127423953577
A,b,2,51.57142857,58.91,12,0.1098088642689697
A,b,3,51.57142857,64.96,12,0.22712188366280103
A,b,3,51.57142857,74.5,12,0.41210803325241296
A,b,3,51.57142857,62.75,12,0.18426869806604623
A,b,3,51.57142857,32.73,12,-0.3978365651079734
A,b,3,51.57142857,62.43,12,0.17806371191628984
A,b,3,51.57142857,52.5,12,-0.014484764543337525
A,b,3,51.57142857,35.65,12,-0.3412160664914464
A,b,3,51.57142857,50.82,12,-0.047060941829558466
A,b,3,51.57142857,51.5,12,-0.033875346261326184
A,b,4,51.57142857,51.21,12,-0.03949861495954288
A,b,4,51.57142857,71.97,12,0.36304986150590163
A,b,4,51.57142857,37.5,12,-0.3053434903131674
A,b,4,51.57142857,59.57,12,0.1226066482028423
A,b,4,51.57142857,62.71,12,0.18349307479732668
A,b,4,51.57142857,78.69,12,0.49335457065078536
A,b,4,51.57142857,68.35,12,0.2928559556867826
A,b,4,51.57142857,69.2,12,0.3093379501470731
A,b,4,51.57142857,60.29,12,0.1365678670397941
A,b,4,51.57142857,91.69,12,0.745432132984638
A,b,5,51.57142857,68.77,12,0.3010000000083379
A,b,5,51.57142857,40.86,12,-0.2401911357407255
A,b,5,51.57142857,63.35,12,0.19590304709683945
A,b,5,51.57142857,55.33,12,0.040390581718570344
A,b,5,51.57142857,59.12,12,0.11388088642974734
A,b,5,51.57142857,76.36,12,0.44817451524787183
A,b,5,51.57142857,65.1,12,0.22983656510331946
A,b,5,51.57142857,65.71,12,0.24166481995129252
A,b,5,51.57142857,65.49,12,0.23739889197333505
A,b,5,51.57142857,49.85,12,-0.06586980609600744
B,b,1,51.71428571,68.44,12,0.29378729284202654
B,b,1,51.71428571,49.58,12,-0.07090883978488198
B,b,1,51.71428571,44.86,12,-0.16217955802449002
B,b,1,51.71428571,49.4,12,-0.07438950276859584
B,b,1,51.71428571,54.58,12,0.025776243096058776
B,b,1,51.71428571,51.56,12,-0.032621546964029365
B,b,1,51.71428571,39.13,12,-0.27298066300604806
B,b,1,51.71428571,65.04,12,0.228041436482987
B,b,1,51.71428571,38.32,12,-0.2886436464327605
B,b,1,51.71428571,68.34,12,0.29185359118440785
B,b,2,51.71428571,44.91,12,-0.16121270719568068
B,b,2,51.71428571,52.3,12,-0.018312154697650233
B,b,2,51.71428571,57.45,12,0.08127348066971886
B,b,2,51.71428571,24.82,12,-0.5496933702113006
B,b,2,51.71428571,39.56,12,-0.2646657458782872
B,b,2,51.71428571,43.31,12,-0.1921519337175816
B,b,2,51.71428571,52.42,12,-0.015991712708507567
B,b,2,51.71428571,60.69,12,0.14392541437656836
B,b,2,51.71428571,54.17,12,0.017848066299821698
B,b,2,51.71428571,52.08,12,-0.022566298344411602
B,b,3,51.71428571,87.36,12,0.6596436464635064
B,b,3,51.71428571,50.11,12,-0.06066022099950224
B,b,3,51.71428571,76.58,12,0.4511906077721981
B,b,3,51.71428571,72.38,12,0.3699751381522078
B,b,3,51.71428571,66.83,12,0.2626546961543636
B,b,3,51.71428571,62.93,12,0.18724033150722985
B,b,3,51.71428571,54.95,12,0.03293093922924848
B,b,3,51.71428571,75.67,12,0.43359392268786695
B,b,3,51.71428571,62.24,12,0.17389779006966008
B,b,3,51.71428571,79.75,12,0.5124889503187146
B,b,4,51.71428571,71.83,12,0.3593397790353044
B,b,4,51.71428571,44.21,12,-0.1747486187990123
B,b,4,51.71428571,43.88,12,-0.18112983426915436
B,b,4,51.71428571,64.02,12,0.2083176795752749
B,b,4,51.71428571,62.61,12,0.18105248620284964
B,b,4,51.71428571,61.96,12,0.16848342542832737
B,b,4,51.71428571,62.01,12,0.16945027625713674
B,b,4,51.71428571,47.9,12,-0.10339502763287807
B,b,4,51.71428571,36.88,12,-0.31648895030247143
B,b,4,51.71428571,75.2,12,0.42450552489705856
B,b,5,51.71428571,69.32,12,0.310803867429072
B,b,5,51.71428571,47.36,12,-0.11383701658401965
B,b,5,51.71428571,52.21,12,-0.020052486189507095
B,b,5,51.71428571,54.67,12,0.027516574587915774
B,b,5,51.71428571,48.22,12,-0.09720718232849786
B,b,5,51.71428571,49.97,12,-0.06336740332016859
B,b,5,51.71428571,56.35,12,0.06000276243591186
B,b,5,51.71428571,32.29,12,-0.4052458563871751
B,b,5,51.71428571,31.08,12,-0.42864364644436276
B,b,5,51.71428571,64.29,12,0.21353867405084587
A,r,1,51.71428571,106.73,12,1.034201657544271
A,r,1,51.71428571,61.19,12,0.15359392266466243
A,r,1,51.71428571,69.73,12,0.3187320442253094
A,r,1,51.71428571,67.9,12,0.2833453038908851
A,r,1,51.71428571,74.16,12,0.40439502765782276
A,r,1,51.71428571,60.85,12,0.14701933702875855
A,r,1,51.71428571,58.42,12,0.10003038674862134
A,r,1,51.71428571,49.55,12,-0.07148895028216765
A,r,1,51.71428571,77.18,12,0.46279281771791114
A,r,1,51.71428571,62.41,12,0.17718508288761198
A,r,2,51.71428571,81.13,12,0.5391740331938542
A,r,2,51.71428571,45.38,12,-0.15212430940487212
A,r,2,51.71428571,87.1,12,0.6546160221536974
A,r,2,51.71428571,82.79,12,0.5712734807103267
A,r,2,51.71428571,90.22,12,0.7149475138714045
A,r,2,51.71428571,83.42,12,0.5834558011533251
A,r,2,51.71428571,55.48,12,0.04317955801462808
A,r,2,51.71428571,65.76,12,0.24196408841784245
