site,b_r,bag,number,outplant_time,tin_ mass,wet_mass,dry_whole,dry_tissue,shell_length,shell_thick_bottom,shell_thick_top,
E,r,5,1,8.142857143,1.0037,4.5077,3.5318,1.2138,36.04,1.12,0.64,
E,r,5,2,8.142857143,1.0018,4.2141,3.1369,1.252,37.9,0.93,0.84,
E,r,5,3,8.142857143,1.0068,5.6352,3.8254,1.4025,48.25,0.89,0.67,
E,r,5,4,8.142857143,1.0545,4.5407,3.2603,1.2273,40.33,0.82,0.86,
E,r,5,5,8.142857143,1.0093,4.8596,3.6604,1.319,38.62,1.23,0.94,
E,r,5,6,8.142857143,0.9923,5.2641,3.7417,1.3357,41.72,0.98,0.66,
E,r,5,7,8.142857143,1.0213,4.1633,2.7544,1.352,31.52,0.72,0.57,
E,r,5,8,8.142857143,1.0035,5.8955,4.3126,1.3919,40.39,0.27,0.57,
E,r,5,10,8.142857143,1.0249,3.8261,2.8377,1.245,34.02,0.84,0.56,
E,r,5,11,8.142857143,1.0197,4.3547,3.3428,1.2735,36.31,0.81,0.54,
E,r,5,12,8.142857143,1.008,5.2429,3.8639,1.3264,39.84,1.17,1.05,
E,b,1,1,8.142857143,1.0202,3.8818,2.9356,1.1735,31.96,0.85,0.69,
E,b,1,2,8.142857143,1.0016,4.3588,3.4817,1.1741,37.25,1.14,0.93,
E,b,1,3,8.142857143,1.0082,3.4918,2.9813,1.1077,35.81,0.79,0.53,
E,b,1,4,8.142857143,0.9968,3.8358,2.9759,1.1413,33.36,0.91,0.46,
E,b,1,5,8.142857143,1.0577,3.2824,2.6393,1.1372,34.12,1.09,0.6,
E,b,1,6,8.142857143,1.0144,3.2546,2.6993,1.1271,29.39,1.01,0.66,
E,b,1,7,8.142857143,0.9756,2.7615,2.3399,1.0837,29.09,0.79,0.57,
E,b,1,8,8.142857143,0.994,3.3533,2.8495,1.0886,31.62,1.02,0.49,
E,b,1,9,8.142857143,1.0284,3.36704,2.9297,1.125,30.08,0.68,0.79,
E,b,1,10,8.142857143,1.0227,3.3563,2.7909,1.1514,26.03,1.24,0.68,
E,b,2,1,8.142857143,1.0233,3.4369,2.8896,1.1474,35.39,1.16,0.54,
E,b,2,2,8.142857143,1.2495,4.7986,3.6149,1.4325,36.41,1,0.74,
E,b,2,3,8.142857143,1.2559,2.7261,2.3715,1.3369,26.92,0.73,0.74,
E,b,2,4,8.142857143,1.0475,3.7211,3.0251,1.1606,34.04,0.85,0.71,
E,b,2,5,8.142857143,0.9969,3.9055,3.0927,1.1279,32.87,0.85,0.68,
E,b,2,6,8.142857143,1.0475,2.7514,2.3957,1.1063,31.33,0.87,0.97,
E,b,2,7,8.142857143,1.2318,3.9072,3.2299,1.3817,28.04,0.93,0.58,
E,b,2,8,8.142857143,1.2695,4.2158,3.2871,1.3923,34.34,0.9,0.95,
E,b,2,9,8.142857143,1.2402,4.1499,3.309,1.3733,35.94,0.79,0.92,
E,b,2,10,8.142857143,1.2539,3.2098,2.7343,1.3497,26.91,0.75,0.71,
E,b,3,1,8.142857143,0.9608,4.6165,3.6337,1.1703,34.07,0.79,0.74,
E,b,3,2,8.142857143,1.0024,3.6656,3.8452,1.1214,32.73,1.24,0.62,
E,b,3,3,8.142857143,1.0053,3.6978,3.0075,1.0954,36.65,1.02,0.91,
E,b,3,4,8.142857143,1.0235,4.0888,3.2827,1.1957,31.94,0.87,0.56,
E,b,3,5,8.142857143,0.9862,3.9814,3.1527,1.1233,32.37,0.9,0.6,
E,b,3,6,8.142857143,1.0203,3.4057,2.8691,1.1208,31.47,0.92,0.52,
E,b,3,7,8.142857143,1.2369,5.001,3.7365,1.376,36.58,0.97,0.82,
E,b,3,8,8.142857143,1.2722,3.5382,3.1043,1.3658,33.41,0.99,0.78,
E,b,3,9,8.142857143,0.9651,4.0551,3.2639,1.1428,37.59,0.94,0.55,
E,b,3,10,8.142857143,1.0197,3.5956,3.0768,1.1816,31.42,0.84,0.69,
E,b,4,1,8.142857143,1.0208,3.7428,2.9814,1.1447,29.9,1.05,0.78,
E,b,4,2,8.142857143,1.026,3.7175,2.8322,1.1407,28.72,1.15,0.79,
E,b,4,3,8.142857143,1.2337,3.5361,2.9162,1.35,29.07,0.84,0.53,
E,b,4,4,8.142857143,1.2352,3.8337,3.0425,1.3615,31.38,0.98,1.03,
E,b,4,5,8.142857143,1.0022,3.03,2.4743,1.0853,29.69,0.62,0.6,
E,b,4,6,8.142857143,1.0256,3.1793,2.7055,1.1174,27.46,0.93,0.45,
E,b,4,7,8.142857143,1.2592,3.7118,3.1085,1.3863,29.31,1.07,0.83,
E,b,4,8,8.142857143,1.0131,3.3451,2.853,1.1517,33.72,1.2,0.64,
E,b,4,9,8.142857143,1.256,4.4251,3.2796,1.4203,32.41,0.85,0.77,
E,b,4,10,8.142857143,1.2393,3.3517,2.8972,1.3283,29.69,0.85,0.67,
E,b,5,1,8.142857143,1.2447,4.3527,3.3748,1.3601,38.46,1.12,0.69,
E,b,5,2,8.142857143,1.2565,3.8747,3.0436,1.3947,32.67,1.08,0.96,
E,b,5,3,8.142857143,1.2723,4.5146,3.532,1.4627,32.48,1.05,0.68,
E,b,5,4,8.142857143,1.2598,4.7874,3.6481,1.4244,38.27,1.09,0.61,
E,b,5,5,8.142857143,0.9683,3.3779,2.4254,1.0439,30.98,1.14,0.7,
E,b,5,6,8.142857143,1.012,4.5494,3.6861,1.1858,38.34,1.32,0.6,
E,b,5,7,8.142857143,0.9777,4.1851,3.3683,1.1346,33.84,0.7,0.49,
E,b,5,8,8.142857143,1.0269,4.3338,3.2162,1.2029,39.96,0.31,0.64,
E,b,5,9,8.142857143,1.021,4.0481,3.2588,1.1738,38.04,1.05,0.53,
C,r,1,1,8.428571429,1.2358,5.4908,4.1342,1.5519,50.42,1.2,0.86,
C,r,1,2,8.428571429,1.2426,5.4863,4.3549,1.5457,42.03,1.43,0.72,
C,r,1,3,8.428571429,1.2602,4.9282,3.9245,1.5261,37.1,1.07,0.82,
C,r,1,4,8.428571429,1.0007,3.6665,2.8722,1.2236,37.35,1.2,0.66,
C,r,1,5,8.428571429,1.0233,4.7092,3.1367,1.2474,39.5,0.93,0.61,
C,r,1,6,8.428571429,0.9736,4.6032,3.3449,1.2584,36.36,0.79,0.75,
C,r,1,7,8.428571429,1.023,5.2101,3.8091,1.3468,37.9,1.11,0.85,
C,r,1,8,8.428571429,1.0196,3.5185,2.8487,1.2032,35,1.07,0.96,
C,r,1,9,8.428571429,1.2357,3.5489,2.8543,1.385,36.67,0.99,0.59,
C,r,1,10,8.428571429,1.2376,4.7288,3.8337,1.5048,40.29,0.91,0.7,
C,r,2,1,8.428571429,0.9945,4.6133,3.4231,1.265,48.91,1.12,0.64,
C,r,2,2,8.428571429,1.0035,4.5532,3.428,1.2345,51.22,0.99,0.8,
C,r,2,3,8.428571429,1.0384,4.0973,3.1656,1.2576,43.62,0.66,0.56,
C,r,2,4,8.428571429,0.9985,3.2383,2.6349,1.1075,38.81,0.98,0.73,
C,r,2,5,8.428571429,1.0127,3.1861,2.4571,1.1602,33.62,1.23,0.69,
C,r,2,6,8.428571429,1.2467,3.1787,2.7545,1.3596,31.09,0.87,0.7,
C,r,2,7,8.428571429,1.0387,5.5642,3.7183,1.3363,40.95,1.06,1.08,
C,r,2,8,8.428571429,1.0472,5.14,3.8827,1.2613,43,1.33,1.33,
C,r,2,9,8.428571429,1.2395,4.4979,3.5828,1.462,43.49,1.13,0.96,
C,r,2,10,8.428571429,1.2533,3.9819,3.1056,1.3967,46.96,1.12,0.77,
C,r,4,1,8.428571429,1.1594,5.2464,3.2553,1.3826,40.37,0.67,0.55,
C,r,4,2,8.428571429,1.1407,2.7312,2.3535,1.2486,26.66,0.93,0.83,
C,r,4,3,8.428571429,1.4263,3.3494,2.7818,1.5773,26.02,1.17,0.97,
C,r,4,4,8.428571429,0.8633,3.1306,2.5674,1.012,34.46,0.93,0.86,
C,r,4,5,8.428571429,1.2245,3.2142,2.5572,1.3116,34.22,0.8,0.54,
C,r,4,6,8.428571429,1.3714,5.1257,3.9983,1.6059,43.78,0.83,0.81,
C,r,4,7,8.428571429,1.1886,5.2425,4.0801,1.4841,39.2,1.02,0.81,
C,r,4,8,8.428571429,1.2903,4.4104,3.5636,1.5383,37.33,1.05,0.59,
C,r,4,9,8.428571429,1.3367,4.6712,3.6901,1.5955,36.84,0.99,0.68,
C,r,4,10,8.428571429,1.1727,5.2322,3.9248,1.4338,47.36,1.3,0.69,
C,r,5,1,8.428571429,1.2481,3.8137,2.9988,1.4103,33.51,1.17,0.67,
C,r,5,2,8.428571429,1.2797,4.3735,3.3249,1.5353,34.14,1.07,0.69,
C,r,5,3,8.428571429,1.2156,4.6604,3.791,1.4253,38.58,1.09,0.81,
C,r,5,4,8.428571429,1.1777,3.4804,2.9102,1.3098,31.5,1.07,0.8,"double, ripped ott top shell and cleaned out one oyster"
C,r,5,5,8.428571429,1.1059,5.4894,3.9866,1.4982,42.77,1.18,0.76,
C,r,5,6,8.428571429,1.2017,4.1786,3.1417,1.3531,30.65,0.93,0.95,
C,r,5,7,8.428571429,0.9992,4.012,3.1612,1.2186,37.37,1.29,0.43,
C,r,5,8,8.428571429,1.1479,4.5129,3.5554,1.3755,42.74,1.23,0.41,
C,r,5,9,8.428571429,1.1386,4.7637,3.6891,1.3938,35.24,1.18,0.58,
C,r,5,10,8.428571429,1.1177,3.2352,2.6486,1.2711,33.64,1.07,0.74,
C,b,1,1,8.428571429,1.1507,4.3834,3.4382,1.2679,38.55,0.79,0.81,
C,b,1,2,8.428571429,1.3697,4.366,3.4052,1.4482,38.47,0.73,0.8,
C,b,1,3,8.428571429,1.7501,5.2398,4.4808,1.8713,44.21,1.02,0.64,
C,b,1,4,8.428571429,1.0327,3.1636,2.8568,1.0767,32.61,0.88,0.73,
C,b,1,5,8.428571429,1.0391,3.3989,2.457,1.113,31.24,0.84,0.67,
C,b,1,6,8.428571429,1.1721,3.3421,2.6157,1.2419,34.52,1.07,0.73,
