date_time,temp,sal,cond,s_v
42940.92014,14.94,22.27,28.5,1491.38
42940.93056,15.09,22.23,28.56,1491.83
42940.94097,15.09,22.2,28.53,1491.8
42940.95139,15.06,22.25,28.56,1491.76
42940.96181,15.09,22.2,28.53,1491.8
42940.97222,15.18,22.2,28.58,1492.1
42940.98264,15.55,22.04,28.63,1493.1
42940.99306,15.27,22.15,28.58,1492.34
42941.00347,14.97,22.2,28.44,1491.4
42941.01389,14.94,22.19,28.41,1491.29
42941.02431,15.06,22.17,28.47,1491.66
42941.03472,15.76,21.88,28.59,1493.61
42941.04514,16.27,21.77,28.79,1495.12
42941.05556,16.27,21.77,28.79,1495.12
42941.06597,16.09,21.82,28.73,1494.61
42941.07639,16.27,21.74,28.76,1495.09
42941.08681,16.39,21.72,28.81,1495.46
42941.09722,16.55,21.69,28.87,1495.9
42941.10764,16.67,21.67,28.93,1496.26
42941.11806,16.73,21.66,28.96,1496.44
42941.12847,16.76,21.64,28.95,1496.51
42941.13889,16.94,21.65,29.07,1497.08
42941.14931,17.03,21.57,29.04,1497.27
42941.15972,17.09,21.64,29.16,1497.54
42941.17014,17.15,21.63,29.19,1497.72
42941.18056,17.15,21.68,29.26,1497.78
42941.19097,16.76,21.78,29.11,1496.67
42941.20139,16.58,21.8,29.03,1496.12
42941.21181,16.55,21.82,29.03,1496.05
42941.22222,16.55,21.82,29.03,1496.05
42941.23264,16.55,21.82,29.03,1496.05
42941.24306,16.61,21.78,29.02,1496.2
42941.25347,16.67,21.8,29.09,1496.41
42941.26389,16.73,21.85,29.18,1496.65
42941.27431,16.76,21.78,29.11,1496.67
42941.28472,16.79,21.76,29.11,1496.74
42941.29514,16.82,21.77,29.14,1496.85
42941.30556,16.85,21.75,29.14,1496.92
42941.31597,16.88,21.76,29.17,1497.02
42941.32639,17,21.74,29.23,1497.38
42941.33681,17.03,21.7,29.2,1497.43
42941.34722,17.06,21.71,29.23,1497.53
42941.35764,16.85,21.34,28.64,1496.44
42941.36806,16.55,21.21,28.29,1495.33
42941.37847,16.46,21.13,28.14,1494.96
42941.38889,16.52,21.03,28.05,1495.03
42941.39931,16.61,21.05,28.13,1495.34
42941.40972,16.7,21.12,28.28,1495.71
42941.42014,16.79,21.17,28.4,1496.05
42941.43056,16.91,21.15,28.45,1496.41
42941.44097,16.91,21.15,28.45,1496.41
42941.45139,17.06,21.22,28.63,1496.96
42941.46181,17.21,21.24,28.75,1497.45
42941.47222,17.3,21.19,28.74,1497.67
42941.48264,17.81,21.06,28.91,1499.09
42941.49306,17.89,21.01,28.91,1499.31
42941.50347,18.55,20.71,28.94,1500.95
42941.51389,21.14,0.01,0,1485.24
42941.52431,23.96,0.01,0,1493.48
42941.53472,26.57,0.01,0,1500.58
42941.54514,26.8,0.01,0,1501.19
42941.55556,27.03,0.01,0,1501.8
42941.56597,27.26,0.01,0,1502.4
42941.57639,28.71,0.01,0,1506.09
42941.58681,29.29,0.01,0,1507.53
42941.59722,30.73,0.01,0,1510.98
42941.60764,32.38,0.01,0,1514.79
42941.61806,33.99,0.02,0,1518.35
42941.62847,36.35,0.02,0,1523.32
42941.63889,38.28,0.02,0,1527.14
42941.64931,33.33,0.02,0,1516.91
42941.65972,28.89,0.01,0,1506.52
42941.67014,25.93,0.01,0,1498.89
42941.68056,18.52,21.21,29.56,1501.43
42941.69097,18.22,21.32,29.5,1500.66
42941.70139,17.48,21.63,29.41,1498.74
42941.71181,17.51,21.59,29.37,1498.78
42941.72222,17.51,21.61,29.41,1498.81
42941.73264,17.57,21.66,29.5,1499.05
42941.74306,17.36,21.78,29.51,1498.54
42941.75347,17.18,21.83,29.45,1498.04
