site,b_r,bag,number,outplant_time,tin_mass,wet_mass,shell_length,dry_whole,dry_tissue
C,b,3,6,31.28571429,2.5323,34.0408,90.82,18.9392,3.3339
C,b,3,7,31.28571429,2.4881,22.4213,55.19,14.0093,2.8647
C,b,3,8,31.28571429,2.5929,41.1575,83.21,22.355,3.87
C,b,3,9,31.28571429,2.5901,28.5315,83.93,17.7146,3.4366
C,b,3,10,31.28571429,2.4739,28.2352,79.59,18.6868,3.3051
C,b,4,1,31.28571429,2.4921,7.3513,39.05,5.2127,2.5821
C,b,4,2,31.28571429,2.4708,11.6492,44.77,7.4465,2.6606
C,b,4,3,31.28571429,2.5034,13.7723,55.38,8.2287,2.7133
C,b,4,4,31.28571429,2.4746,30.7547,83.37,17.314,3.018
C,b,4,5,31.28571429,2.51,17.7859,57.99,11.0884,2.8087
C,b,4,6,31.28571429,2.5225,10.6096,46.06,6.8883,2.6724
C,b,4,7,31.28571429,2.4674,20.8811,64.71,13.3083,2.7679
C,b,4,8,31.28571429,2.4654,14.1162,43.41,9.2316,2.7137
C,b,4,9,31.28571429,2.5021,21.6199,68.71,12.9296,2.9137
C,b,5,1,31.28571429,2.5321,20.0778,65.27,12.3337,3.0342
C,b,5,2,31.28571429,2.4816,14.4558,59.11,8.9425,2.7067
C,b,5,3,31.28571429,2.4969,23.9497,54.82,14.9088,3.0572
C,b,5,4,31.28571429,2.4943,15.3906,53.01,9.717,2.8658
C,b,5,5,31.28571429,2.5466,22.6237,71.27,13.6591,2.8773
C,b,5,6,31.28571429,2.5314,4.1889,25.77,3.5338,2.5746
C,b,5,7,31.28571429,2.4999,17.678,66.53,10.4728,2.863
C,b,5,8,31.28571429,2.5235,8.9456,44.52,6.3414,2.655
C,b,5,9,31.28571429,2.4609,9.5922,40.94,6.8178,2.6192
C,b,5,10,31.28571429,2.4758,4.6066,29.21,3.7824,2.5302
C,r,1,1,31.42857143,2.5507,51.5322,69.42,26.0863,5.7319
C,r,1,2,31.42857143,2.4777,47.1608,86.72,24.3419,5.1168
C,r,1,3,31.42857143,2.4639,62.9263,76.26,33.2424,6.6857
